| 题号   | 题目                                                       | 难度     | 官方链接                                                                                     |
| 1113 | Reported Posts                                           | Easy   | <https://leetcode.com/problems/reported-posts>                                           |
| 1112 | Highest Grade For Each Student                           | Medium | <https://leetcode.com/problems/highest-grade-for-each-student>                           |
| 574  | Winning Candidate                                        | Medium | <https://leetcode.com/problems/winning-candidate>                                        |
| 1212 | Team Scores in Football Tournament                       | Medium | <https://leetcode.com/problems/team-scores-in-football-tournament>                       |
| 1211 | Queries Quality and Percentage                           | Easy   | <https://leetcode.com/problems/queries-quality-and-percentage>                           |
| 571  | Find Median Given Frequency of Numbers                   | Hard   | <https://leetcode.com/problems/find-median-given-frequency-of-numbers>                   |
| 570  | Managers with at Least 5 Direct Reports                  | Medium | <https://leetcode.com/problems/managers-with-at-least-5-direct-reports>                  |
| 569  | Median Employee Salary                                   | Hard   | <https://leetcode.com/problems/median-employee-salary>                                   |
| 1068 | Product Sales Analysis I                                 | Easy   | <https://leetcode.com/problems/product-sales-analysis-i>                                 |
| 1205 | Monthly Transactions II                                  | Medium | <https://leetcode.com/problems/monthly-transactions-ii>                                  |
| 1204 | Last Person to Fit in the Bus                            | Medium | <https://leetcode.com/problems/last-person-to-fit-in-the-bus>                            |
| 1098 | Unpopular Books                                          | Medium | <https://leetcode.com/problems/unpopular-books>                                          |
| 1321 | Restaurant Growth                                        | Medium | <https://leetcode.com/problems/restaurant-growth>                                        |
| 1097 | Game Play Analysis V                                     | Hard   | <https://leetcode.com/problems/game-play-analysis-v>                                     |
| 1194 | Tournament Winners                                       | Hard   | <https://leetcode.com/problems/tournament-winners>                                       |
| 1193 | Monthly Transactions I                                   | Medium | <https://leetcode.com/problems/monthly-transactions-i>                                   |
| 1308 | Running Total for Different Genders                      | Medium | <https://leetcode.com/problems/running-total-for-different-genders>                      |
